Facility ID,Facility Name,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Patient experience national comparison,Mortality national comparison
100000,Hospital 0,City 0,CA,10000,County 0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average
100001,Hospital 1,City 1,CA,10001,County 1,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Above the national average,Above the national average
100002,Hospital 2,City 2,CA,10002,County 2,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Not Available
100003,Hospital 3,City 3,FL,10003,County 3,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Above the national average,Same as the national average
100004,Hospital 4,City 4,OH,10004,County 4,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Same as the national average,Below the national average
100005,Hospital 5,City 5,CA,10005,County 5,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Below the national average
100006,Hospital 6,City 6,MI,10006,County 6,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Not Available,Above the national average,Not Available
100007,Hospital 7,City 7,CA,10007,County 7,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Same as the national average,Above the national average
100008,Hospital 8,City 8,NY,10008,County 8,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Above the national average
100009,Hospital 9,City 9,OH,10009,County 9,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Same as the national average,Below the national average
100010,Hospital 10,City 10,PA,10010,County 10,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Same as the national average
100011,Hospital 11,City 11,TX,10011,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Same as the national average,Below the national average
100012,Hospital 12,City 12,NY,10012,County 12,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Not Available,Below the national average
100013,Hospital 13,City 13,CA,10013,County 13,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Same as the national average,Not Available
100014,Hospital 14,City 14,OH,10014,County 14,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Same as the national average,Same as the national average
100015,Hospital 15,City 15,NC,10015,County 15,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Not Available,Below the national average
100016,Hospital 16,City 16,FL,10016,County 16,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Above the national average,Above the national average
100017,Hospital 17,City 17,CA,10017,County 17,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Above the national average,Not Available
100018,Hospital 18,City 18,OH,10018,County 18,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Above the national average,Above the national average
100019,Hospital 19,City 19,NC,10019,County 19,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Below the national average,Not Available
100020,Hospital 20,City 20,TX,10020,County 20,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Same as the national average,Above the national average
100021,Hospital 21,City 21,IL,10021,County 21,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Above the national average
100022,Hospital 22,City 22,MI,10022,County 22,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Above the national average,Below the national average
100023,Hospital 23,City 23,IL,10023,County 23,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Above the national average,Above the national average
100024,Hospital 24,City 24,GA,10024,County 24,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Not Available
100025,Hospital 25,City 25,NC,10025,County 25,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Same as the national average
100026,Hospital 26,City 26,IL,10026,County 26,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Not Available,Above the national average
100027,Hospital 27,City 27,FL,10027,County 27,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Above the national average,Same as the national average
100028,Hospital 28,City 28,MI,10028,County 28,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Above the national average,Same as the national average
100029,Hospital 29,City 29,CA,10029,County 29,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average
100030,Hospital 30,City 30,GA,10030,County 30,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Same as the national average
100031,Hospital 31,City 31,GA,10031,County 31,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Above the national average,Not Available
100032,Hospital 32,City 32,PA,10032,County 32,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Above the national average,Above the national average
100033,Hospital 33,City 33,NY,10033,County 33,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Same as the national average,Same as the national average
100034,Hospital 34,City 34,FL,10034,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Same as the national average,Below the national average
100035,Hospital 35,City 35,GA,10035,County 35,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Above the national average,Above the national average
100036,Hospital 36,City 36,NC,10036,County 36,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Not Available
100037,Hospital 37,City 37,GA,10037,County 37,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Above the national average,Same as the national average
100038,Hospital 38,City 38,OH,10038,County 38,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Not Available,Below the national average
100039,Hospital 39,City 39,OH,10039,County 39,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Below the national average,Same as the national average
100040,Hospital 40,City 40,NY,10040,County 40,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Not Available
100041,Hospital 41,City 41,NC,10041,County 41,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Above the national average
100042,Hospital 42,City 42,MI,10042,County 42,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Above the national average,Same as the national average
100043,Hospital 43,City 43,MI,10043,County 43,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Not Available,Below the national average
100044,Hospital 44,City 44,IL,10044,County 44,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Not Available
100045,Hospital 45,City 45,TX,10045,County 45,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Above the national average,Above the national average
100046,Hospital 46,City 46,GA,10046,County 46,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Same as the national average
100047,Hospital 47,City 47,PA,10047,County 47,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Same as the national average
100048,Hospital 48,City 48,GA,10048,County 48,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Below the national average,Above the national average
100049,Hospital 49,City 49,TX,10049,County 49,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Same as the national average,Below the national average
100050,Hospital 50,City 50,IL,10050,County 0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Not Available
100051,Hospital 51,City 51,IL,10051,County 1,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Below the national average,Above the national average
100052,Hospital 52,City 52,NY,10052,County 2,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Same as the national average,Not Available
100053,Hospital 53,City 53,NC,10053,County 3,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Above the national average,Above the national average
100054,Hospital 54,City 54,TX,10054,County 4,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average
100055,Hospital 55,City 55,NY,10055,County 5,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Below the national average,Same as the national average
100056,Hospital 56,City 56,FL,10056,County 6,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Same as the national average
100057,Hospital 57,City 57,TX,10057,County 7,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Below the national average
100058,Hospital 58,City 58,OH,10058,County 8,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Not Available
100059,Hospital 59,City 59,NY,10059,County 9,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Not Available,Below the national average
100060,Hospital 60,City 60,IL,10060,County 10,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Not Available
100061,Hospital 61,City 61,PA,10061,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Below the national average,Not Available
100062,Hospital 62,City 62,NC,10062,County 12,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Below the national average,Same as the national average
100063,Hospital 63,City 63,MI,10063,County 13,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Not Available,Below the national average
