order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1007,C003,Sports,4,48658.48,2024-04-06,completed,194633.92
1015,C014,Books,15,7229.29,2024-02-05,completed,108439.35
1033,C037,Clothing,16,40394.1,2024-02-18,completed,646305.6
1039,C027,Books,7,43246.05,2024-01-16,completed,302722.35
1054,C033,Food,2,4705.69,2024-04-18,completed,9411.38
1056,C048,Sports,14,28089.25,2024-01-29,completed,393249.5
1082,C009,Home,17,49395.83,2024-06-01,completed,839729.11
1084,C011,Books,9,37613.66,2024-06-12,completed,338522.94
1110,C012,Clothing,12,39911.83,2024-03-28,completed,478941.96
1140,C045,Food,13,40696.95,2024-05-20,completed,529060.35
1143,C040,Home,15,38023.53,2024-02-22,completed,570352.95
1151,C043,Clothing,15,26975.17,2024-03-29,completed,404627.55
1155,C007,Electronics,17,45531.04,2024-01-04,completed,774027.68
1164,C015,Home,9,23032.57,2024-06-19,completed,207293.13
1172,C020,Electronics,19,18306.58,2024-02-03,completed,347825.02
1180,C041,Home,10,32497.05,2024-01-30,completed,324970.5
1185,C029,Clothing,12,5057.8,2024-06-24,completed,60693.6
1231,C010,Electronics,16,22166.18,2024-03-18,completed,354658.88
1237,C016,Books,17,26185.13,2024-02-10,completed,445147.21
1258,C049,Books,20,362.03,2024-01-21,completed,7240.6
1280,C044,Electronics,5,3454.94,2024-06-14,completed,17274.7
1317,C034,Clothing,20,44667.27,2024-02-05,completed,893345.4
1384,C032,Electronics,16,38105.29,2024-03-22,completed,609684.64
1419,C016,Sports,20,9857.86,2024-01-28,completed,197157.2
1437,C007,Home,15,16013.58,2024-03-17,completed,240203.7
1453,C046,Books,6,4225.26,2024-01-08,completed,25351.56
1455,C037,Sports,17,5749.23,2024-01-30,completed,97736.91
1489,C049,Electronics,1,29409.44,2024-01-04,completed,29409.44
1495,C008,Sports,20,2845.93,2024-06-19,completed,56918.6
