order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1020,C036,Home,4,34117.35,2024-05-17,completed,136469.4
1031,C046,Clothing,3,45280.46,2024-03-25,completed,135841.38
1040,C025,Books,9,46333.25,2024-04-26,completed,416999.25
1055,C003,Food,5,31891.96,2024-03-08,completed,159459.8
1092,C032,Books,11,33476.79,2024-04-13,completed,368244.69
1094,C037,Electronics,14,6871.4,2024-04-28,completed,96199.6
1098,C049,Clothing,7,41977.52,2024-06-08,completed,293842.64
1121,C007,Sports,10,23522.91,2024-04-22,completed,235229.1
1135,C039,Books,11,30225.31,2024-01-07,completed,332478.41
1137,C037,Clothing,16,25996.3,2024-04-23,completed,415940.8
1161,C021,Food,12,18804.57,2024-02-07,completed,225654.84
1169,C018,Sports,2,45539.79,2024-05-07,completed,91079.58
1255,C023,Books,2,19883.05,2024-04-05,completed,39766.1
1262,C035,Home,17,28794.87,2024-02-06,completed,489512.79
1263,C028,Sports,12,12104.16,2024-04-16,completed,145249.92
1312,C026,Sports,18,9813.3,2024-05-21,completed,176639.4
1335,C016,Home,17,11361.02,2024-02-29,completed,193137.34
1340,C012,Books,16,9396.95,2024-03-15,completed,150351.2
1367,C040,Clothing,7,3457.82,2024-06-01,completed,24204.74
1391,C049,Books,5,42142.98,2024-02-29,completed,210714.9
1394,C027,Electronics,17,36137.42,2024-05-17,completed,614336.14
1420,C020,Books,11,42096.51,2024-04-07,completed,463061.61
1429,C035,Food,18,29731.62,2024-01-22,completed,535169.16
