order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1004,C027,Books,19,13981.72,2024-01-02,completed,265652.68
1028,C035,Home,10,20009.72,2024-06-20,completed,200097.2
1036,C013,Sports,15,7095.1,2024-02-16,completed,106426.5
1037,C030,Electronics,15,40420.31,2024-05-20,completed,606304.65
1063,C015,Books,12,15329.02,2024-02-28,completed,183948.24
1064,C002,Books,11,14002.29,2024-01-18,completed,154025.19
1069,C035,Food,14,3591.69,2024-06-19,completed,50283.66
1075,C029,Sports,16,39707.4,2024-02-13,completed,635318.4
1102,C026,Electronics,19,34561.66,2024-06-09,completed,656671.54
1119,C019,Food,6,15183.15,2024-05-16,completed,91098.9
1125,C040,Sports,13,22580.67,2024-04-23,completed,293548.71
1127,C049,Home,7,13305.84,2024-01-21,completed,93140.88
1131,C043,Books,4,27273.66,2024-06-14,completed,109094.64
1187,C006,Home,20,48557.56,2024-01-13,completed,971151.2
1189,C038,Clothing,11,38740.99,2024-06-01,completed,426150.89
1200,C047,Books,15,44415.74,2024-04-15,completed,666236.1
1218,C001,Food,7,38390.74,2024-03-06,completed,268735.18
1227,C033,Food,12,36396.22,2024-06-14,completed,436754.64
1235,C037,Food,20,23833.89,2024-02-08,completed,476677.8
1250,C031,Food,19,49223.55,2024-04-28,completed,935247.45
1267,C023,Home,4,38597.92,2024-03-26,completed,154391.68
1303,C030,Food,20,7269.07,2024-03-22,completed,145381.4
1309,C030,Clothing,19,17709.46,2024-01-13,completed,336479.74
1325,C027,Books,17,38771.12,2024-04-30,completed,659109.04
1347,C021,Electronics,9,19240.36,2024-04-24,completed,173163.24
1369,C029,Sports,7,37743.85,2024-01-15,completed,264206.95
1380,C031,Food,10,47855.29,2024-01-04,completed,478552.9
1398,C037,Home,8,15068.73,2024-01-21,completed,120549.84
1422,C045,Books,11,8964.1,2024-04-11,completed,98605.1
1430,C050,Home,12,8400.29,2024-06-05,completed,100803.48
1457,C035,Books,4,36825.84,2024-06-16,completed,147303.36
