order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1012,C039,Sports,8,8253.78,2024-04-07,completed,66030.24
1027,C036,Food,17,43634.41,2024-04-18,completed,741784.97
1061,C002,Home,11,39141.09,2024-04-15,completed,430551.99
1106,C046,Books,6,36716.39,2024-06-15,completed,220298.34
1144,C036,Food,15,44054.25,2024-05-04,completed,660813.75
1149,C048,Electronics,9,38656.49,2024-04-16,completed,347908.41
1154,C025,Books,2,6399.69,2024-05-31,completed,12799.38
1156,C027,Electronics,16,39098.11,2024-03-08,completed,625569.76
1171,C017,Home,4,45179.84,2024-06-14,completed,180719.36
1188,C016,Sports,7,3523.65,2024-05-21,completed,24665.55
1190,C018,Clothing,18,12607.64,2024-02-14,completed,226937.52
1202,C024,Home,16,3449.95,2024-01-22,completed,55199.2
1211,C005,Home,1,4678.71,2024-05-15,completed,4678.71
1244,C020,Clothing,11,47388.65,2024-05-04,completed,521275.15
1257,C010,Electronics,10,45878.07,2024-04-30,completed,458780.7
1275,C039,Sports,10,16128.45,2024-01-21,completed,161284.5
1284,C048,Books,17,19410.67,2024-05-23,completed,329981.39
1294,C012,Books,17,45544.54,2024-01-15,completed,774257.18
1295,C034,Food,6,8182.15,2024-02-27,completed,49092.9
1304,C026,Food,17,28126.4,2024-03-22,completed,478148.8
1311,C028,Food,12,38216.45,2024-04-03,completed,458597.4
1337,C036,Books,16,23924.68,2024-02-21,completed,382794.88
1344,C046,Electronics,11,39559.31,2024-05-25,completed,435152.41
1392,C046,Electronics,7,25336.07,2024-04-05,completed,177352.49
1400,C045,Electronics,16,42281.96,2024-06-14,completed,676511.36
1411,C046,Home,13,15902.24,2024-01-28,completed,206729.12
1447,C044,Food,4,12004.78,2024-01-30,completed,48019.12
1472,C045,Home,10,8032.98,2024-03-11,completed,80329.8
1480,C040,Books,12,36149.36,2024-06-09,completed,433792.32
1488,C021,Books,19,21101.09,2024-05-19,completed,400920.71
1492,C040,Food,3,15564.35,2024-05-10,completed,46693.05
