order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1022,C047,Sports,6,25433.32,2024-01-28,completed,152599.92
1025,C024,Clothing,2,12119.49,2024-05-25,completed,24238.98
1052,C009,Electronics,4,37146.59,2024-02-09,completed,148586.36
1073,C037,Books,18,41702.89,2024-03-18,completed,750652.02
1086,C016,Food,11,44662.04,2024-01-21,completed,491282.44
1095,C004,Books,11,10661.85,2024-03-24,completed,117280.35
1100,C045,Food,6,30334.05,2024-01-30,completed,182004.3
1103,C007,Home,20,40295.85,2024-05-24,completed,805917.0
1111,C039,Sports,1,25879.7,2024-02-18,completed,25879.7
1116,C018,Food,8,6120.73,2024-02-19,completed,48965.84
1165,C030,Home,18,7982.98,2024-04-23,completed,143693.64
1166,C038,Home,14,34546.64,2024-04-26,completed,483652.96
1217,C034,Electronics,8,19823.64,2024-06-02,completed,158589.12
1240,C019,Home,20,43676.66,2024-03-26,completed,873533.2
1249,C040,Home,15,11776.75,2024-03-02,completed,176651.25
1270,C003,Clothing,2,39576.35,2024-01-11,completed,79152.7
1276,C043,Food,15,30170.82,2024-04-19,completed,452562.3
1285,C017,Home,15,10807.06,2024-06-05,completed,162105.9
1288,C035,Food,6,35619.27,2024-06-28,completed,213715.62
1296,C034,Electronics,9,9895.47,2024-05-21,completed,89059.23
1297,C009,Sports,18,4762.08,2024-06-13,completed,85717.44
1333,C029,Home,16,10777.94,2024-05-17,completed,172447.04
1334,C036,Clothing,4,30822.28,2024-05-30,completed,123289.12
1341,C001,Sports,20,5454.3,2024-03-26,completed,109086.0
1343,C030,Clothing,4,16601.14,2024-04-27,completed,66404.56
1348,C022,Sports,19,670.64,2024-06-16,completed,12742.16
1370,C033,Clothing,19,16013.29,2024-06-02,completed,304252.51
1371,C016,Clothing,17,11130.03,2024-03-17,completed,189210.51
1386,C002,Sports,19,28999.23,2024-04-16,completed,550985.37
1412,C001,Books,12,38091.19,2024-01-27,completed,457094.28
1444,C008,Home,16,26432.98,2024-06-12,completed,422927.68
1469,C032,Food,10,16953.98,2024-05-27,completed,169539.8
