order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1001,C041,Electronics,9,12320.1,2024-02-05,completed,110880.9
1009,C013,Electronics,8,38676.11,2024-01-21,completed,309408.88
1078,C050,Books,14,44318.23,2024-05-27,completed,620455.22
1123,C032,Sports,2,7671.18,2024-05-24,completed,15342.36
1146,C027,Clothing,4,23126.25,2024-01-31,completed,92505.0
1160,C007,Books,6,34730.66,2024-01-08,completed,208383.96
1196,C028,Books,15,3767.19,2024-01-21,completed,56507.85
1203,C028,Home,12,40607.29,2024-05-22,completed,487287.48
1219,C021,Electronics,16,37376.0,2024-02-14,completed,598016.0
1228,C016,Clothing,9,9943.86,2024-06-03,completed,89494.74
1236,C029,Food,3,25277.0,2024-02-14,completed,75831.0
1256,C025,Food,8,1506.56,2024-01-26,completed,12052.48
1260,C028,Food,8,15127.44,2024-01-13,completed,121019.52
1305,C030,Food,15,12471.15,2024-01-25,completed,187067.25
1324,C037,Clothing,1,22107.82,2024-04-17,completed,22107.82
1379,C003,Clothing,19,36242.83,2024-05-23,completed,688613.77
1424,C024,Sports,7,29652.13,2024-05-19,completed,207564.91
1426,C019,Books,16,7045.04,2024-03-18,completed,112720.64
1438,C046,Electronics,11,32433.7,2024-06-22,completed,356770.7
1466,C005,Books,17,37515.14,2024-06-26,completed,637757.38
1471,C002,Clothing,15,22880.25,2024-04-19,completed,343203.75
1475,C042,Home,4,154.21,2024-05-02,completed,616.84
1482,C009,Sports,13,17641.63,2024-04-19,completed,229341.19
