order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1011,C024,Clothing,9,35120.83,2024-06-23,completed,316087.47
1014,C003,Books,9,3402.81,2024-05-25,completed,30625.29
1017,C026,Clothing,5,25525.36,2024-01-24,completed,127626.8
1021,C050,Electronics,10,21794.79,2024-04-26,completed,217947.9
1047,C014,Clothing,9,19849.71,2024-06-20,completed,178647.39
1048,C030,Electronics,1,22968.45,2024-05-24,completed,22968.45
1050,C016,Food,6,21965.41,2024-05-19,completed,131792.46
1175,C019,Electronics,15,48148.38,2024-02-06,completed,722225.7
1282,C024,Books,3,28738.7,2024-05-15,completed,86216.1
1283,C026,Home,9,12555.62,2024-01-30,completed,113000.58
1328,C035,Home,9,30542.82,2024-02-19,completed,274885.38
1332,C026,Clothing,10,2199.12,2024-01-21,completed,21991.2
1377,C014,Home,3,46119.08,2024-04-04,completed,138357.24
1385,C024,Books,2,28169.98,2024-02-26,completed,56339.96
1406,C033,Electronics,4,21910.7,2024-01-20,completed,87642.8
1468,C041,Electronics,18,19946.02,2024-04-19,completed,359028.36
1473,C042,Food,3,18655.0,2024-06-15,completed,55965.0
1477,C045,Electronics,14,34732.15,2024-05-02,completed,486250.1
1500,C033,Electronics,16,42982.05,2024-02-12,completed,687712.8
