order_id,customer_id,product_category,quantity,unit_price,order_date,status,total_value
1030,C002,Sports,8,29463.16,2024-01-02,completed,235705.28
1042,C004,Home,18,3141.78,2024-03-21,completed,56552.04
1043,C004,Books,17,45977.42,2024-05-15,completed,781616.14
1053,C019,Clothing,11,10259.51,2024-06-11,completed,112854.61
1109,C037,Home,13,16886.19,2024-05-06,completed,219520.47
1118,C047,Sports,20,14221.64,2024-01-26,completed,284432.8
1129,C045,Books,10,1728.73,2024-03-14,completed,17287.3
1133,C048,Food,15,6305.25,2024-06-25,completed,94578.75
1136,C015,Sports,1,49978.66,2024-06-21,completed,49978.66
1138,C012,Books,16,48455.86,2024-04-30,completed,775293.76
1163,C025,Home,8,24933.6,2024-05-29,completed,199468.8
1179,C002,Sports,11,45771.27,2024-02-26,completed,503483.97
1183,C027,Home,5,44282.15,2024-06-16,completed,221410.75
1184,C032,Books,9,1732.54,2024-04-04,completed,15592.86
1209,C002,Home,9,1544.76,2024-03-10,completed,13902.84
1213,C050,Sports,3,44178.78,2024-02-09,completed,132536.34
1215,C032,Books,14,13731.03,2024-05-11,completed,192234.42
1230,C029,Home,20,16228.09,2024-06-09,completed,324561.8
1242,C009,Home,3,15548.14,2024-04-06,completed,46644.42
1298,C038,Clothing,6,32970.77,2024-06-03,completed,197824.62
1310,C032,Home,16,14358.84,2024-01-03,completed,229741.44
1314,C044,Electronics,5,48756.63,2024-04-10,completed,243783.15
1323,C041,Books,5,41100.9,2024-03-03,completed,205504.5
1345,C012,Home,13,41366.79,2024-05-11,completed,537768.27
1351,C024,Clothing,8,47872.29,2024-05-02,completed,382978.32
1358,C030,Electronics,18,23172.68,2024-03-19,completed,417108.24
1407,C039,Sports,13,48449.13,2024-03-24,completed,629838.69
1416,C016,Sports,6,34297.27,2024-02-13,completed,205783.62
1446,C030,Clothing,10,45942.26,2024-05-31,completed,459422.6
1462,C019,Food,17,49275.87,2024-06-22,completed,837689.79
1476,C009,Clothing,17,34031.14,2024-01-03,completed,578529.38
1481,C027,Home,15,43012.13,2024-01-23,completed,645181.95
1484,C047,Food,1,42409.82,2024-06-17,completed,42409.82
1487,C041,Electronics,17,44447.35,2024-01-04,completed,755604.95
